Pet, Gender, Education, Urbanicity, Children, Employment, Income
1, 1, Bachelor's degree +, Urban, 0, 1, 54642
1, 0, Some college, Suburban, 1, 0, 39785
1, 1, Less than high school, Urban, 0, 1, 20668
0, 1, Bachelor's degree +, Suburban, 0, 1, 54300
0, 1, High school, Suburban, 1, 0, 28866
1, 0, Less than high school, Urban, 0, 1, 22157
1, 0, High school, Suburban, 1, 0, 32194
1, 1, High school, Suburban, 0, 1, 28995
0, 1, Some college, Suburban, 0, 0, 33467
0, 1, Bachelor's degree +, Suburban, 1, 1, 54542
0, 0, Bachelor's degree +, Suburban, 0, 0, 70603
1, 1, Bachelor's degree +, Rural, 0, 0, 54441
0, 0, High school, Suburban, 1, 0, 32381
1, 0, Some college, Urban, 1, 1, 39901
1, 0, Bachelor's degree +, Suburban, 0, 1, 70429
1, 0, Less than high school, Suburban, 0, 1, 22212
1, 1, High school, Urban, 0, 1, 28866
1, 1, Less than high school, Urban, 0, 1, 20673
1, 1, High school, Rural, 0, 1, 28910
1, 1, Less than high school, Urban, 0, 1, 20782
1, 1, Bachelor's degree +, Suburban, 0, 0, 54306
1, 0, Some college, Urban, 0, 1, 39794
1, 1, Some college, Suburban, 0, 0, 33354
0, 0, Some college, Rural, 0, 0, 39955
0, 1, Bachelor's degree +, Suburban, 0, 1, 54573
1, 1, Bachelor's degree +, Urban, 0, 1, 54495
0, 1, High school, Suburban, 0, 0, 28824
1, 0, High school, Suburban, 0, 1, 32305
1, 1, Less than high school, Suburban, 1, 1, 20845
1, 1, Some college, Suburban, 0, 1, 33324
0, 1, High school, Rural, 0, 0, 28700
1, 1, High school, Rural, 0, 1, 28897
1, 0, Bachelor's degree +, Rural, 0, 0, 70418
1, 1, Less than high school, Urban, 0, 0, 20771
0, 1, Some college, Urban, 0, 0, 33182
0, 0, Some college, Suburban, 0, 1, 39847
0, 1, Bachelor's degree +, Suburban, 0, 1, 54517
0, 0, Some college, Rural, 1, 1, 39854
1, 1, Less than high school, Suburban, 0, 1, 20646
1, 0, Bachelor's degree +, Suburban, 0, 0, 70168
1, 0, High school, Suburban, 1, 1, 32364
1, 1, High school, Urban, 0, 0, 28936
1, 0, Bachelor's degree +, Suburban, 0, 0, 70460
1, 1, Bachelor's degree +, Suburban, 1, 1, 54557
1, 0, Bachelor's degree +, Urban, 1, 0, 70316
1, 1, Some college, Suburban, 1, 1, 33411
0, 1, Some college, Urban, 0, 0, 33369
1, 0, High school, Suburban, 1, 0, 32565
0, 0, High school, Urban, 1, 0, 32372
0, 0, Some college, Urban, 0, 0, 40201
0, 1, High school, Urban, 1, 1, 28879
1, 0, Bachelor's degree +, Urban, 0, 0, 70970
1, 1, High school, Urban, 1, 1, 28838
1, 1, High school, Suburban, 1, 1, 28835
0, 0, High school, Suburban, 0, 1, 32245
1, 0, Some college, Urban, 1, 0, 39818
1, 0, High school, Suburban, 0, 0, 32306
0, 0, Some college, Suburban, 0, 0, 39731
1, 0, Bachelor's degree +, Urban, 1, 1, 70843
1, 1, Less than high school, Rural, 0, 0, 20838
1, 1, Less than high school, Rural, 0, 1, 20791
1, 1, High school, Urban, 0, 1, 28904
1, 0, Bachelor's degree +, Rural, 0, 1, 70445
1, 1, Less than high school, Suburban, 0, 0, 20695
1, 1, High school, Urban, 1, 1, 28883
1, 0, Bachelor's degree +, Suburban, 0, 1, 70460
1, 0, Bachelor's degree +, Rural, 1, 1, 70961
0, 1, Some college, Suburban, 0, 1, 33356
1, 1, Some college, Urban, 0, 1, 33438
0, 1, Bachelor's degree +, Suburban, 0, 1, 54447
1, 1, Bachelor's degree +, Rural, 0, 1, 54126
0, 1, High school, Rural, 0, 1, 28854
1, 0, Less than high school, Suburban, 0, 1, 22256
0, 0, Less than high school, Suburban, 0, 1, 22288
1, 1, High school, Suburban, 0, 0, 28822
1, 1, Some college, Suburban, 0, 0, 33348
0, 1, Bachelor's degree +, Suburban, 0, 1, 54772
0, 0, Bachelor's degree +, Suburban, 0, 0, 70673
0, 0, Some college, Suburban, 1, 0, 39978
0, 0, High school, Suburban, 0, 1, 32424
0, 0, High school, Suburban, 0, 0, 32487
0, 1, Less than high school, Suburban, 0, 1, 20790
0, 1, Bachelor's degree +, Suburban, 0, 0, 54554
1, 0, Bachelor's degree +, Urban, 0, 1, 70416
0, 0, Bachelor's degree +, Urban, 0, 1, 70716
1, 0, Some college, Urban, 0, 0, 40107
1, 1, Some college, Urban, 0, 1, 33267
1, 1, Some college, Urban, 1, 1, 33360
0, 0, High school, Suburban, 0, 0, 32376
0, 0, Less than high school, Rural, 0, 0, 22175
0, 1, Some college, Suburban, 1, 0, 33328
1, 1, Some college, Rural, 0, 0, 33366
0, 0, Bachelor's degree +, Urban, 0, 1, 70822
0, 1, Some college, Urban, 0, 1, 33294
0, 1, Bachelor's degree +, Suburban, 0, 1, 54519
1, 0, High school, Suburban, 1, 0, 32243
0, 1, Some college, Rural, 0, 1, 33183
1, 0, High school, Urban, 0, 1, 32402
0, 1, Bachelor's degree +, Urban, 1, 0, 54516
1, 1, Less than high school, Urban, 0, 1, 20728
0, 0, Bachelor's degree +, Suburban, 0, 0, 70415
1, 1, Less than high school, Suburban, 0, 0, 20882
1, 1, Less than high school, Urban, 1, 1, 20890
1, 1, Bachelor's degree +, Suburban, 0, 1, 54470
0, 1, High school, Suburban, 1, 0, 28799
0, 0, Bachelor's degree +, Urban, 0, 1, 70297
1, 1, Some college, Suburban, 1, 0, 33312
0, 0, High school, Rural, 0, 0, 32356
0, 0, Bachelor's degree +, Urban, 0, 0, 70478
0, 1, Bachelor's degree +, Rural, 0, 1, 54477
1, 1, Some college, Suburban, 1, 1, 33054
1, 0, High school, Urban, 0, 1, 32309
0, 0, Bachelor's degree +, Suburban, 0, 0, 70590
1, 0, Some college, Urban, 0, 1, 39818
1, 0, Bachelor's degree +, Urban, 0, 1, 70545
1, 1, Bachelor's degree +, Urban, 0, 1, 54387
0, 1, High school, Suburban, 0, 1, 28738
1, 1, Some college, Urban, 0, 0, 33349
0, 1, Bachelor's degree +, Rural, 0, 1, 54130
1, 1, High school, Urban, 0, 0, 28928
0, 1, Bachelor's degree +, Suburban, 1, 1, 54347
1, 1, Bachelor's degree +, Suburban, 1, 1, 54674
0, 0, High school, Suburban, 0, 0, 32239
1, 1, Bachelor's degree +, Urban, 1, 1, 54489
1, 1, Some college, Rural, 1, 0, 33335
1, 1, High school, Suburban, 0, 0, 28819
0, 0, Bachelor's degree +, Urban, 0, 1, 70349
1, 1, Bachelor's degree +, Rural, 1, 1, 54291
1, 0, High school, Suburban, 0, 0, 32191
1, 0, Some college, Urban, 0, 0, 39808
1, 0, High school, Suburban, 0, 0, 32307
0, 0, Less than high school, Urban, 0, 0, 22242
1, 0, Bachelor's degree +, Urban, 1, 1, 70808
1, 0, Some college, Suburban, 0, 1, 39793
0, 0, Some college, Suburban, 0, 0, 40007
1, 0, Some college, Rural, 0, 1, 39880
1, 0, Less than high school, Urban, 0, 0, 22239
1, 1, Some college, Urban, 0, 0, 33601
0, 0, High school, Urban, 0, 1, 32112
0, 0, Less than high school, Suburban, 0, 1, 22170
0, 1, Some college, Suburban, 0, 1, 33329
0, 1, Bachelor's degree +, Rural, 0, 0, 54573
0, 1, Bachelor's degree +, Suburban, 0, 1, 54149
1, 0, Less than high school, Urban, 0, 1, 22368
1, 1, Some college, Suburban, 0, 1, 33463
1, 0, High school, Urban, 1, 1, 32162
0, 1, High school, Urban, 0, 1, 28961
1, 0, Some college, Suburban, 1, 1, 39819
0, 0, High school, Rural, 0, 1, 32362
1, 1, Bachelor's degree +, Urban, 1, 1, 54237
1, 1, Less than high school, Suburban, 1, 1, 20750
1, 1, Some college, Urban, 0, 1, 33486
0, 1, Some college, Suburban, 0, 1, 33307
1, 0, Some college, Urban, 0, 1, 39718
0, 1, Some college, Urban, 0, 0, 33225
1, 0, High school, Urban, 0, 0, 32250
1, 0, Bachelor's degree +, Urban, 0, 0, 70179
1, 0, Less than high school, Urban, 0, 1, 22104
1, 0, Less than high school, Rural, 1, 0, 22250
1, 1, Some college, Urban, 0, 1, 33657
0, 1, Bachelor's degree +, Urban, 0, 0, 54662
0, 0, Bachelor's degree +, Rural, 0, 1, 70637
1, 1, Bachelor's degree +, Urban, 0, 1, 54490
0, 1, Less than high school, Rural, 0, 0, 20811
1, 1, Some college, Rural, 1, 1, 33320
1, 0, Bachelor's degree +, Suburban, 0, 0, 69777
1, 1, Bachelor's degree +, Urban, 1, 1, 54500
1, 1, Some college, Rural, 0, 1, 33212
0, 0, Some college, Urban, 1, 0, 39719
1, 1, High school, Rural, 0, 1, 28875
0, 0, Bachelor's degree +, Suburban, 0, 1, 70468
1, 1, High school, Rural, 0, 1, 28867
0, 0, Bachelor's degree +, Urban, 0, 0, 70908
0, 1, Bachelor's degree +, Suburban, 0, 1, 54155
1, 0, High school, Urban, 0, 1, 32430
1, 0, Less than high school, Suburban, 0, 1, 22227
0, 0, Bachelor's degree +, Urban, 0, 1, 70337
0, 1, Some college, Suburban, 0, 0, 33378
0, 1, Bachelor's degree +, Suburban, 0, 0, 54450
1, 1, High school, Rural, 0, 0, 28991
1, 0, Less than high school, Urban, 1, 0, 22103
1, 0, Bachelor's degree +, Suburban, 1, 1, 70659
1, 0, High school, Rural, 0, 1, 32336
0, 0, Some college, Urban, 0, 0, 39803
1, 0, Some college, Urban, 0, 0, 39836
0, 0, Less than high school, Suburban, 1, 1, 22232
1, 1, Some college, Urban, 0, 1, 33261
0, 1, Some college, Suburban, 0, 0, 33321
1, 1, Less than high school, Rural, 0, 1, 20792
0, 1, High school, Rural, 0, 1, 28914
0, 0, Some college, Rural, 0, 0, 39852
0, 0, Some college, Suburban, 0, 1, 39782
1, 0, Bachelor's degree +, Urban, 1, 1, 70333
1, 1, Some college, Suburban, 0, 1, 33321
1, 0, High school, Suburban, 0, 0, 32318
1, 1, Some college, Suburban, 1, 1, 33573
1, 0, Some college, Urban, 0, 1, 39900
1, 0, Less than high school, Suburban, 0, 1, 22137
1, 0, Bachelor's degree +, Urban, 0, 1, 70307
0, 0, Bachelor's degree +, Suburban, 0, 1, 70414
1, 1, Some college, Urban, 0, 1, 33368
1, 0, Some college, Urban, 1, 0, 39766
0, 1, Less than high school, Suburban, 0, 0, 20681
1, 0, Some college, Suburban, 0, 1, 39768
0, 1, Bachelor's degree +, Suburban, 0, 1, 54407
0, 0, Bachelor's degree +, Rural, 0, 1, 70456
0, 1, Some college, Suburban, 0, 0, 33357
1, 1, Bachelor's degree +, Urban, 0, 0, 54448
1, 0, Bachelor's degree +, Urban, 1, 0, 70730
1, 1, Bachelor's degree +, Suburban, 0, 0, 54484
0, 0, Some college, Suburban, 0, 1, 40022
0, 0, Bachelor's degree +, Rural, 0, 1, 70426
1, 1, Less than high school, Suburban, 1, 1, 20666
0, 1, Bachelor's degree +, Urban, 1, 1, 54733
1, 0, Some college, Suburban, 1, 1, 40174
0, 1, Some college, Urban, 0, 0, 33289
0, 0, Bachelor's degree +, Urban, 0, 1, 70307
0, 1, Bachelor's degree +, Urban, 0, 1, 54565
1, 0, High school, Urban, 1, 1, 32330
1, 0, High school, Urban, 1, 1, 32301
1, 0, Some college, Rural, 0, 1, 39839
0, 1, Bachelor's degree +, Urban, 0, 1, 54774
0, 0, Bachelor's degree +, Suburban, 0, 1, 70571
0, 0, High school, Suburban, 0, 0, 32524
1, 0, Some college, Urban, 1, 1, 40056
0, 1, Bachelor's degree +, Suburban, 0, 0, 54677
1, 0, Bachelor's degree +, Rural, 1, 1, 70629
1, 1, High school, Urban, 1, 1, 28856
1, 1, High school, Suburban, 1, 1, 28801
1, 1, Bachelor's degree +, Suburban, 0, 1, 54230
0, 0, High school, Suburban, 0, 0, 32338
0, 1, Bachelor's degree +, Urban, 1, 0, 54224
1, 0, Some college, Urban, 0, 1, 40078
1, 0, Bachelor's degree +, Urban, 0, 0, 70756
1, 0, Some college, Suburban, 0, 0, 39560
1, 1, Less than high school, Suburban, 1, 1, 20771
0, 0, Bachelor's degree +, Suburban, 0, 0, 70392
1, 1, Bachelor's degree +, Urban, 0, 1, 54486
1, 0, Some college, Rural, 0, 1, 39877
0, 1, Bachelor's degree +, Suburban, 0, 1, 54322
1, 0, Bachelor's degree +, Rural, 0, 1, 70457
0, 1, High school, Suburban, 0, 0, 28860
0, 1, Bachelor's degree +, Urban, 0, 1, 54567
1, 0, Some college, Suburban, 0, 1, 39813
1, 1, Some college, Suburban, 1, 0, 33391
0, 1, Some college, Suburban, 0, 0, 33354
0, 1, Bachelor's degree +, Urban, 0, 1, 54460
0, 0, Some college, Suburban, 0, 1, 39553
0, 1, Some college, Urban, 0, 0, 33533
0, 1, Bachelor's degree +, Suburban, 0, 0, 54488
1, 1, Bachelor's degree +, Suburban, 1, 1, 54483
1, 1, High school, Urban, 0, 1, 28909
1, 1, Some college, Suburban, 1, 1, 33417
1, 1, Bachelor's degree +, Rural, 0, 1, 54487
0, 1, High school, Urban, 0, 0, 28811
1, 0, Bachelor's degree +, Suburban, 0, 1, 70401
1, 1, Bachelor's degree +, Suburban, 0, 1, 54847
1, 0, High school, Rural, 0, 0, 32385
0, 0, Some college, Suburban, 1, 0, 39825
1, 0, High school, Suburban, 0, 1, 32209
0, 0, High school, Suburban, 1, 0, 32065
0, 1, Some college, Suburban, 0, 1, 33512
1, 0, High school, Urban, 1, 1, 32321
1, 0, Less than high school, Urban, 0, 1, 22097
0, 0, Bachelor's degree +, Suburban, 1, 1, 70770
1, 1, Bachelor's degree +, Rural, 0, 1, 54241
1, 0, High school, Suburban, 0, 0, 32265
1, 1, Bachelor's degree +, Rural, 0, 0, 54698
0, 0, Bachelor's degree +, Suburban, 0, 1, 70513
0, 1, Bachelor's degree +, Suburban, 0, 1, 54804
1, 1, Some college, Suburban, 0, 0, 33637
1, 0, Bachelor's degree +, Suburban, 1, 1, 70615
0, 1, Some college, Urban, 0, 1, 33403
1, 0, Some college, Suburban, 0, 1, 39811
1, 0, Some college, Suburban, 0, 0, 39814
0, 0, Bachelor's degree +, Suburban, 0, 1, 70581
1, 1, Less than high school, Urban, 0, 1, 20785
1, 1, High school, Suburban, 1, 1, 28849
0, 0, Bachelor's degree +, Urban, 0, 1, 70521
1, 0, High school, Urban, 1, 1, 32099
0, 0, Bachelor's degree +, Suburban, 0, 1, 70171
0, 1, Some college, Rural, 0, 1, 33284
0, 1, Some college, Suburban, 1, 1, 33316
0, 1, High school, Urban, 0, 0, 28945
0, 1, High school, Suburban, 0, 1, 28716
1, 1, High school, Urban, 0, 1, 28935
0, 0, High school, Urban, 0, 1, 32313
1, 0, Bachelor's degree +, Rural, 0, 1, 70487
0, 0, High school, Suburban, 0, 1, 32307
0, 0, Some college, Urban, 1, 0, 39662
0, 1, Bachelor's degree +, Suburban, 0, 0, 54419
1, 1, Some college, Urban, 0, 1, 33356
0, 0, High school, Suburban, 1, 0, 32179
1, 0, Bachelor's degree +, Suburban, 0, 1, 70308
0, 1, Bachelor's degree +, Urban, 1, 1, 54539
1, 0, Some college, Rural, 0, 1, 39771
1, 0, Bachelor's degree +, Urban, 0, 1, 70137
1, 1, Some college, Suburban, 0, 0, 33350
0, 0, Some college, Suburban, 0, 1, 40112
0, 1, Bachelor's degree +, Suburban, 0, 1, 54332
0, 0, High school, Suburban, 0, 1, 32388
1, 1, High school, Suburban, 1, 0, 28693
1, 1, Bachelor's degree +, Suburban, 0, 0, 54276
1, 1, Bachelor's degree +, Urban, 0, 0, 54531
1, 1, Bachelor's degree +, Rural, 0, 1, 54247
1, 0, High school, Urban, 0, 0, 32314
0, 1, Bachelor's degree +, Suburban, 0, 0, 54443
0, 0, High school, Suburban, 0, 0, 32399
1, 1, High school, Suburban, 0, 0, 28937
0, 1, Some college, Suburban, 0, 1, 33464
1, 1, Bachelor's degree +, Urban, 0, 0, 54476
1, 0, High school, Urban, 1, 1, 32336
1, 1, High school, Suburban, 1, 1, 28880
1, 1, Some college, Suburban, 0, 1, 33339
0, 1, Bachelor's degree +, Urban, 0, 0, 54972
0, 1, Some college, Urban, 1, 1, 33473
0, 1, Bachelor's degree +, Urban, 0, 1, 54450
0, 0, Some college, Suburban, 0, 1, 39724
0, 1, High school, Rural, 0, 1, 28844
0, 1, High school, Urban, 0, 1, 28884
0, 1, High school, Rural, 0, 1, 28853
1, 1, High school, Urban, 0, 1, 28788
0, 1, Bachelor's degree +, Suburban, 0, 0, 54798
1, 1, Bachelor's degree +, Urban, 0, 1, 54393
0, 0, High school, Urban, 0, 0, 32073
0, 0, High school, Suburban, 0, 1, 32300
0, 1, High school, Urban, 1, 0, 28892
1, 1, Bachelor's degree +, Urban, 1, 1, 54479
1, 1, High school, Suburban, 0, 1, 28869
1, 0, Less than high school, Suburban, 0, 0, 22215
1, 0, High school, Rural, 0, 1, 32302
1, 1, High school, Suburban, 0, 0, 28884
1, 1, Bachelor's degree +, Urban, 1, 1, 54447
0, 0, High school, Urban, 0, 0, 32333
0, 1, Less than high school, Urban, 0, 1, 20708
1, 0, Some college, Urban, 0, 1, 39801
1, 1, Some college, Urban, 0, 1, 33595
1, 1, High school, Suburban, 0, 0, 28846
0, 1, Bachelor's degree +, Urban, 0, 0, 54462
0, 0, Some college, Suburban, 0, 0, 39860
1, 1, Less than high school, Rural, 0, 1, 20742
0, 1, Bachelor's degree +, Suburban, 0, 1, 54249
1, 0, Bachelor's degree +, Suburban, 0, 1, 70287
0, 0, High school, Suburban, 0, 0, 32314
0, 0, High school, Suburban, 0, 1, 32546
0, 0, Bachelor's degree +, Urban, 1, 1, 70703
1, 0, Some college, Rural, 0, 1, 39859
0, 0, Bachelor's degree +, Rural, 0, 0, 70123
0, 1, Some college, Urban, 0, 0, 33394
0, 0, Some college, Suburban, 0, 0, 40135
1, 1, Bachelor's degree +, Suburban, 0, 1, 54475
1, 1, Less than high school, Rural, 0, 1, 20766
1, 1, High school, Urban, 1, 1, 29020
0, 1, Some college, Suburban, 0, 1, 33520
1, 1, Some college, Urban, 1, 1, 33203
0, 1, Some college, Urban, 0, 1, 33255
1, 1, Some college, Suburban, 0, 1, 33349
0, 0, Some college, Suburban, 0, 1, 39843
0, 1, High school, Urban, 0, 0, 28884
1, 0, High school, Rural, 0, 0, 32296
0, 0, Some college, Urban, 1, 1, 39930
0, 0, Some college, Suburban, 1, 0, 39820
0, 0, Bachelor's degree +, Urban, 0, 1, 70553
1, 0, Bachelor's degree +, Urban, 0, 1, 70711
1, 0, Some college, Suburban, 0, 1, 39861
1, 0, Some college, Urban, 0, 1, 39860
0, 1, High school, Urban, 0, 0, 28747
1, 1, Bachelor's degree +, Rural, 0, 0, 54838
1, 1, Some college, Suburban, 0, 1, 33428
1, 0, Some college, Suburban, 0, 1, 39821
1, 1, Some college, Suburban, 0, 1, 33330
1, 1, High school, Suburban, 0, 1, 29053
1, 1, High school, Suburban, 0, 1, 28920
1, 1, High school, Rural, 0, 1, 28945
0, 0, High school, Suburban, 0, 0, 32300
1, 0, Bachelor's degree +, Suburban, 0, 1, 70428
0, 1, Bachelor's degree +, Suburban, 1, 0, 54529
1, 1, Some college, Suburban, 1, 1, 33417
0, 1, Bachelor's degree +, Suburban, 0, 0, 54193
1, 1, High school, Urban, 0, 1, 28847
1, 1, High school, Suburban, 0, 0, 28931
1, 0, High school, Urban, 1, 1, 32099
1, 1, Bachelor's degree +, Suburban, 0, 0, 54487
1, 1, Some college, Suburban, 1, 0, 33088
1, 0, Some college, Urban, 1, 1, 39974
0, 0, Some college, Urban, 0, 1, 39850
0, 0, High school, Suburban, 1, 1, 32546
1, 0, Some college, Suburban, 0, 1, 39822
0, 0, High school, Suburban, 0, 0, 32114
0, 0, Some college, Suburban, 0, 0, 40012
0, 0, Some college, Urban, 1, 0, 39722
0, 1, Bachelor's degree +, Suburban, 0, 0, 54574
1, 0, High school, Suburban, 0, 1, 32274
0, 0, Some college, Suburban, 0, 1, 39687
1, 1, Some college, Suburban, 0, 1, 33367
0, 1, Bachelor's degree +, Suburban, 0, 1, 54403
1, 1, Some college, Rural, 0, 1, 33267
1, 1, Bachelor's degree +, Suburban, 0, 1, 54271
1, 1, High school, Urban, 0, 0, 28979
1, 1, Less than high school, Rural, 0, 0, 20695
0, 1, Some college, Urban, 0, 0, 33158
0, 0, High school, Rural, 0, 1, 32191
1, 1, Bachelor's degree +, Rural, 0, 0, 54805
1, 1, Bachelor's degree +, Suburban, 1, 1, 54385
0, 0, Bachelor's degree +, Urban, 0, 0, 70192
1, 1, Some college, Rural, 0, 0, 33219
1, 1, Some college, Urban, 0, 1, 33197
1, 1, Bachelor's degree +, Suburban, 0, 1, 54259
0, 1, Some college, Rural, 0, 0, 33612
0, 0, High school, Urban, 0, 0, 32428
1, 0, Less than high school, Suburban, 1, 0, 22401
1, 1, Some college, Suburban, 0, 1, 33461
1, 1, Bachelor's degree +, Rural, 0, 1, 54435
0, 0, Bachelor's degree +, Suburban, 0, 0, 70627
1, 0, Some college, Urban, 0, 0, 39834
1, 1, Some college, Rural, 1, 1, 33330
1, 1, High school, Rural, 1, 1, 29034
1, 0, Some college, Suburban, 0, 0, 39877
1, 1, Less than high school, Urban, 0, 1, 20799
1, 0, Some college, Rural, 0, 1, 39781
1, 0, High school, Suburban, 0, 1, 32380
0, 1, Bachelor's degree +, Suburban, 0, 1, 54697
1, 0, Some college, Suburban, 0, 0, 39783
0, 0, Bachelor's degree +, Urban, 0, 1, 70405
0, 0, Less than high school, Rural, 0, 1, 22153
1, 0, Some college, Rural, 0, 1, 39984
0, 1, Some college, Suburban, 0, 1, 33642
0, 0, Bachelor's degree +, Rural, 0, 0, 70656
1, 1, Some college, Suburban, 1, 1, 33338
0, 0, Some college, Urban, 0, 1, 39773
1, 1, Bachelor's degree +, Suburban, 0, 1, 54536
1, 0, Bachelor's degree +, Suburban, 0, 1, 70223
1, 0, Some college, Suburban, 0, 1, 39646
0, 0, High school, Urban, 0, 1, 32298
1, 1, Less than high school, Urban, 0, 1, 20654
1, 1, Some college, Urban, 0, 1, 33223
0, 0, Bachelor's degree +, Urban, 1, 1, 70603
1, 1, High school, Suburban, 0, 1, 28830
1, 1, Less than high school, Rural, 0, 1, 20720
0, 0, Bachelor's degree +, Urban, 0, 0, 70341
1, 0, High school, Rural, 0, 1, 32203
0, 0, Less than high school, Urban, 0, 1, 22069
0, 0, Bachelor's degree +, Urban, 1, 1, 70173
0, 1, Less than high school, Rural, 1, 1, 20802
1, 1, Bachelor's degree +, Suburban, 0, 1, 54488
0, 0, Some college, Urban, 0, 0, 39770
0, 0, Bachelor's degree +, Rural, 1, 1, 70521
0, 0, High school, Suburban, 0, 1, 32324
1, 0, High school, Suburban, 1, 1, 32353
1, 0, Some college, Urban, 0, 0, 40059
0, 0, Some college, Suburban, 1, 1, 39894
0, 1, Bachelor's degree +, Suburban, 1, 0, 54223
1, 0, Bachelor's degree +, Suburban, 0, 1, 70291
0, 1, Some college, Suburban, 1, 1, 33216
0, 1, High school, Suburban, 1, 0, 28905
0, 1, Bachelor's degree +, Suburban, 1, 1, 54048
1, 0, High school, Urban, 1, 0, 32331
0, 0, Bachelor's degree +, Suburban, 0, 0, 70481
1, 0, Less than high school, Rural, 1, 1, 22174
1, 1, High school, Urban, 0, 1, 29081
1, 1, Bachelor's degree +, Suburban, 0, 0, 54478
0, 1, Bachelor's degree +, Urban, 0, 1, 54664
1, 0, Some college, Suburban, 0, 1, 39500
1, 1, Bachelor's degree +, Rural, 1, 1, 54519
0, 1, Bachelor's degree +, Urban, 0, 0, 54185
1, 1, High school, Urban, 1, 1, 28862
0, 0, Some college, Suburban, 0, 0, 39826
1, 0, High school, Suburban, 0, 0, 32246
1, 0, Bachelor's degree +, Suburban, 0, 1, 71015
0, 0, Bachelor's degree +, Suburban, 0, 1, 70531
0, 1, Some college, Urban, 0, 0, 33360
0, 1, Some college, Suburban, 0, 0, 33331
1, 0, High school, Suburban, 1, 1, 32329
1, 0, Some college, Rural, 0, 1, 39859
0, 1, Bachelor's degree +, Suburban, 0, 1, 54579
1, 0, High school, Urban, 0, 0, 32303
0, 0, Less than high school, Suburban, 0, 1, 22193
1, 0, High school, Rural, 0, 1, 32338
0, 1, Some college, Urban, 0, 0, 33338
0, 1, Some college, Urban, 0, 1, 33283
0, 0, Bachelor's degree +, Suburban, 1, 0, 70343
0, 1, Less than high school, Urban, 1, 1, 20767
1, 0, Some college, Rural, 0, 0, 39803
0, 0, Bachelor's degree +, Urban, 0, 1, 70333
1, 0, Bachelor's degree +, Urban, 1, 1, 70591
1, 1, Some college, Suburban, 0, 0, 33503
1, 0, Some college, Suburban, 0, 1, 39653
1, 0, High school, Urban, 1, 1, 32459
0, 0, Some college, Urban, 0, 1, 39908
0, 1, Bachelor's degree +, Rural, 1, 0, 54272
0, 1, Bachelor's degree +, Suburban, 0, 1, 54132
1, 0, Some college, Suburban, 0, 0, 39778
0, 1, High school, Suburban, 1, 1, 28964
0, 0, Less than high school, Suburban, 0, 1, 22222
0, 1, Some college, Urban, 1, 1, 33562
1, 0, Bachelor's degree +, Suburban, 1, 1, 70171
1, 1, Some college, Suburban, 0, 0, 33170
1, 0, Less than high school, Urban, 0, 1, 22167
0, 0, High school, Suburban, 0, 1, 32468
0, 0, Some college, Suburban, 0, 0, 39985
1, 0, Bachelor's degree +, Rural, 0, 0, 70137
0, 0, Some college, Urban, 0, 1, 39736
1, 1, High school, Suburban, 0, 0, 28793
1, 1, Bachelor's degree +, Urban, 1, 1, 54471
0, 0, Less than high school, Suburban, 0, 1, 22249
0, 1, Bachelor's degree +, Suburban, 0, 0, 54408
0, 1, Bachelor's degree +, Urban, 0, 0, 54497
1, 1, Some college, Rural, 0, 0, 33363
1, 1, Less than high school, Urban, 0, 0, 20813
0, 1, High school, Urban, 1, 0, 28866
1, 1, Bachelor's degree +, Urban, 1, 1, 54391
1, 0, Less than high school, Suburban, 0, 1, 22148
1, 1, Less than high school, Urban, 0, 1, 20789
1, 0, Some college, Rural, 1, 1, 39854
1, 0, High school, Suburban, 0, 1, 32046
1, 0, High school, Suburban, 0, 1, 32337
1, 1, High school, Suburban, 0, 1, 28934
0, 0, High school, Suburban, 0, 0, 32304
0, 1, Some college, Suburban, 0, 0, 33463
0, 0, Some college, Suburban, 0, 1, 39842
1, 0, Less than high school, Suburban, 0, 0, 22065
1, 0, Bachelor's degree +, Suburban, 0, 0, 70605
1, 1, High school, Urban, 0, 0, 28841
0, 1, Some college, Urban, 0, 0, 33384
0, 0, High school, Urban, 0, 0, 32180
1, 1, Some college, Urban, 0, 1, 33244
0, 1, Bachelor's degree +, Urban, 0, 0, 54560
1, 0, High school, Suburban, 0, 0, 32326
1, 1, High school, Rural, 0, 1, 28927
1, 0, Bachelor's degree +, Suburban, 0, 0, 70663
1, 1, Less than high school, Suburban, 1, 1, 20612
1, 1, High school, Suburban, 1, 0, 28932
0, 1, Bachelor's degree +, Urban, 1, 0, 54446
1, 0, High school, Urban, 0, 1, 32251
0, 0, High school, Rural, 1, 0, 32021
1, 0, High school, Suburban, 0, 0, 32308
1, 0, Some college, Suburban, 0, 1, 39832
1, 0, High school, Suburban, 0, 1, 32064
1, 1, High school, Suburban, 1, 0, 29166
1, 0, Some college, Suburban, 1, 1, 39627
1, 0, High school, Urban, 0, 1, 32404
0, 0, Bachelor's degree +, Suburban, 0, 1, 70439
1, 0, Bachelor's degree +, Urban, 1, 1, 70555
1, 0, Less than high school, Rural, 0, 1, 22205
0, 1, Some college, Urban, 0, 1, 33456
1, 1, Some college, Rural, 0, 0, 33440
0, 1, Some college, Urban, 1, 1, 33380
1, 1, Some college, Urban, 1, 1, 33441
1, 0, High school, Rural, 1, 0, 32160
0, 0, High school, Urban, 0, 1, 32308
0, 0, Some college, Urban, 1, 1, 39947
